College Name,College City,State,Approvals,Rating,Major Stream Rating,Logo,Cover,Fees,Ranking Data,Default Ranking Data,Exam,Facilities,Fee Range,Type Of College,Program Type,Duration
Don Bosco College,Kottayam,Kerala,[],4.539510638938496,1.091878643533526,https://images.collegedunia.com/public/college_data/images/logos/1603904510download.png,https://images.collegedunia.com/public/college_data/images/appImage/16039045101590664075php87Ir98g.png,18000,[],[],,"['Library', 'Communication Centre', 'Security', 'Laboratory', 'Hostel', 'Classrooms', 'Comp Labs', 'Auditorium', 'Cafeteria']",0,Private,Full Time,3
Nehru Group of Institutions - [NGI],Coimbatore,Tamil Nadu,"['DGCA', 'PCI', 'INC', 'KNMC', 'MCI']",4.539510638938496,1.0921746258169451,https://images.collegedunia.com/public/college_data/images/logos/16045680157087476026551518178847884359237538804662272o.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1604567905infrastructure.jpg,65000,"[{'year': '2020', 'agencyId': '33', 'rankingOfCollege': '146', 'rankingOutOfTotalNoOfCollege': '179', 'agency': 'The Week'}]",[],,"['Library', 'Laboratory', 'Comp Labs', 'Security', 'Classrooms', 'Transport', 'Cafeteria', 'Auditorium', 'Gym']",1,Private,Full Time,3
Deen Dayal Rustagi College of Management And Technology - [DDRCMT],Gurgaon,Haryana,['AICTE'],4.539510638938496,1.0924706883341089,https://images.collegedunia.com/public/college_data/images/logos/1605077172Screenshot20201111121559.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1604817845ONLINEENQUIRYFORM.png,0,[],[],,"['Library', 'Sports', 'Cafeteria', 'Auditorium', 'Medical', 'Wi-FI Campus', 'Classrooms', 'Transport', 'Security']",0,Private,Full Time,3
Beehive Group of Colleges,Dehradun,Uttarakhand,"['NCTE', 'AICTE']",4.539510638938496,1.0927668311067666,https://images.collegedunia.com/public/college_data/images/logos/1625657971logooo.png,https://images.collegedunia.com/public/college_data/images/appImage/162787993031.jpeg,47200,[],[],,"['Library', 'Laboratory', 'Comp Labs', 'Classrooms', 'Hostel', 'Wi-FI Campus', 'Auditorium', 'Sports']",1,Private,Full Time,3
Central Tribal University of A.P-[CTUAP ],Vizianagaram,Andhra Pradesh,[],4.539510638938496,1.0930630541566737,https://images.collegedunia.com/public/asset/img/placeholders/logo_placeholder_70X70.png,https://images.collegedunia.com/public/college_data/images/appImage/16056873411.jpg,2900,[],[],cuet,"['Classrooms', 'Laboratory', 'Cafeteria', 'Security', 'Medical']",0,Government,Full Time,3
Gandhi Institute of Management and Technology - [GIMT],Kolkata,West Bengal,[],4.539510638938496,1.0933593575055909,https://images.collegedunia.com/public/college_data/images/logos/1623397575logo.png,https://images.collegedunia.com/public/college_data/images/appImage/1623397576Screenshot20210611131446.png,31250,[],[],,"['Comp Labs', 'Library', 'Sports', 'Transport', 'Hostel', 'Classrooms', 'Medical', 'Security', 'Cafeteria']",1,Private,Full Time,3
Bharatiya Engineering Science & Technology Innovation University - [BESTIU],Anantapur,Andhra Pradesh,"['UGC', 'AIU']",4.539510638938496,1.0936557411752863,https://images.collegedunia.com/public/college_data/images/logos/1606561416BESTIULogoTagline.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1606561416Screenshot20201128162640.png,50000,[],[],,"['Classrooms', 'Cafeteria', 'Security', 'Laboratory', 'Comp Labs', 'Library', 'Transport', 'Sports', 'Auditorium']",1,Private,Full Time,3
UIHMT Group of Colleges,Dehradun,Uttarakhand,[],4.539510638938496,1.093952205187532,https://images.collegedunia.com/public/college_data/images/logos/1607605774Logo.png,https://images.collegedunia.com/public/college_data/images/appImage/1607605775Cover.jpg,40000,[],[],,"['Library', 'Laboratory', 'Classrooms', 'Medical', 'Cafeteria', 'Comp Labs', 'Security', 'Wi-FI Campus']",1,Private,Full Time,3
International Maritime Business Academy - [IMBA],Dehradun,Uttarakhand,[],4.539510638938496,1.0942487495641078,https://images.collegedunia.com/public/college_data/images/logos/16506144635.jpg,https://images.collegedunia.com/public/college_data/images/appImage/16506143685.jpg,125000,[],[],,"['Classrooms', 'Cafeteria', 'Library']",3,Private,Full Time,3
Sona College of Arts and Science,Salem,Tamil Nadu,[],4.539510638938496,1.094545374326798,https://images.collegedunia.com/public/college_data/images/logos/1609148659Sona.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1607931666Screenshot20201214130128.png,50000,[],[],,"['Security', 'Laboratory', 'Comp Labs', 'Library', 'Classrooms', 'Hostel']",1,Private,Full Time,3
Manipal University Online,Jaipur,Rajasthan,[],4.539510638938496,1.0948420794973934,https://images.collegedunia.com/public/college_data/images/logos/16080294541250520421601011325290978062564587088279459o.png,https://images.collegedunia.com/public/college_data/images/appImage/1608029454Untitled.png,33000,[],[],,[],1,Private,Part Time,3
Cosmopolis Institute of Management Studies,Kolkata,West Bengal,[],4.539510638938496,1.095138865097691,https://images.collegedunia.com/public/college_data/images/logos/1609318237Logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1609318237Cover.jpg,240000,[],[],,"['Library', 'Laboratory', 'Wi-FI Campus', 'Classrooms', 'Medical', 'Security']",4,Private,Full Time,3
Smt. S. B. Patel Institute of Business Management,Visnagar,Gujarat,[],4.539510638938496,1.0954357311494929,https://images.collegedunia.com/public/college_data/images/logos/16100840571584091466Logo.png,https://images.collegedunia.com/public/college_data/images/appImage/16100841791610011680Cover.jpg,22000,[],[],,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Library', 'Auditorium', 'Hostel', 'Laboratory']",0,Private,Full Time,3
International Business College - [IBC],Patna,Bihar,[],4.539510638938496,1.095732677674608,https://images.collegedunia.com/public/college_data/images/logos/1610533570logosmalllightm.png,https://images.collegedunia.com/public/asset/img/placeholders/logo_placeholder_70X70.png,75000,[],[],,"['Classrooms', 'Library', 'Hostel', 'Cafeteria', 'Wi-FI Campus', 'Comp Labs', 'Auditorium', 'Communication Centre']",2,Private,Full Time,3
Dr. Zakir Husain Institute,Patna,Bihar,[],4.539510638938496,1.0960297046948506,https://images.collegedunia.com/public/college_data/images/logos/1610716749Logo.png,https://images.collegedunia.com/public/college_data/images/appImage/1610716749Cover.jpg,21100,[],[],,"['Comp Labs', 'Classrooms', 'Communication Centre', 'Wi-FI Campus', 'Cafeteria', 'Medical', 'Security']",0,Private,Full Time,3
National Business College,Patna,Bihar,[],4.539510638938496,1.0963268122320409,https://images.collegedunia.com/public/college_data/images/logos/161112993197963739102711484792455191023120075718656n12.png,https://images.collegedunia.com/public/college_data/images/appImage/1611129931pic8.jpg,17000,[],[],,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Library', 'Auditorium', 'Hostel', 'Laboratory']",0,Private,Full Time,3
Asian Institute of Management & Information Technology - [AIMIT],Patna,Bihar,[],4.539510638938496,1.096624000308005,https://images.collegedunia.com/public/college_data/images/logos/1611134272aimitlogo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1611134272Untitled.png,20000,[],[],,"['Classrooms', 'Library', 'Cafeteria', 'Comp Labs']",0,Private,Full Time,3
Russell Square International College - [RSIC],Mumbai,Maharashtra,[],4.539510638938496,1.096921268944575,https://images.collegedunia.com/public/college_data/images/logos/1611220933Logo.gif,https://images.collegedunia.com/public/college_data/images/appImage/1612421514buildingentrance.png,578200,[],[],,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Library', 'Auditorium', 'Communication Centre', 'Wi-FI Campus']",4,Private,Full Time,3
VKIT Group of Colleges,Bijnor,Uttar Pradesh,"['NCTE', 'PCI', 'BCI', 'AICTE', 'MHRD']",4.539510638938496,1.09721861816359,https://images.collegedunia.com/public/college_data/images/logos/1611742210VKITLogoAnnexure1.jpeg,https://images.collegedunia.com/public/college_data/images/appImage/1611742210Screenshot20210127152844.png,20000,[],[],,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Library', 'Auditorium', 'Hostel', 'Laboratory']",0,Private,Full Time,3
"Shree L. R. Tiwari Degree College of Arts, Commerce and Science - [SLRTDC]",Mumbai,Maharashtra,[],4.539510638938496,1.0975160479868926,https://images.collegedunia.com/public/college_data/images/logos/1612337337unnamed.png,https://images.collegedunia.com/public/college_data/images/appImage/1612257100Screenshot20210202143426.png,35000,[],[],,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Library', 'Auditorium', 'Hostel', 'Laboratory']",1,Private,Full Time,3
Dehradoon Institute of Management & Technology - [DIMT],Dehradun,Uttarakhand,['AICTE'],4.539510638938496,1.097813558436333,https://images.collegedunia.com/public/college_data/images/logos/16124441611612417278Logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1612417278Cover.jpeg,30000,[],[],,"['Comp Labs', 'Classrooms', 'Security', 'Medical', 'Communication Centre', 'Wi-FI Campus', 'Library']",1,Private,Full Time,3
