College Name,College City,State,Approvals,Rating,Major Stream Rating,Logo,Cover,Fees,Ranking Data,Default Ranking Data,Exam,Facilities,Fee Range,Type Of College,Program Type,Duration
"Graphic Era Hill University Dehradun Campus, School of Law",Dehradun,Uttarakhand,['BCI'],7.02563037362892,0.961601834646922,https://images.collegedunia.com/public/college_data/images/logos/1475241829Graphic_Era_Hill_University_Logo.png,https://images.collegedunia.com/public/college_data/images/appImage/57205_cover 1.jpg,136400,[],[],,"['e-classroom', 'Laboratory', 'Auditorium', 'Wi-FI Campus', 'Sports', 'Hostel', 'Library', 'Transport', 'Security', 'Banks', 'Gym', 'Medical']",3,Private,Full Time,3
"NCU, School of Law",Gurgaon,Haryana,['BCI'],7.02563037362892,0.962583061008806,https://images.collegedunia.com/public/college_data/images/logos/1629784798WhatsAppImage20210824at11.17.17AM.jpeg,https://images.collegedunia.com/public/college_data/images/appImage/_k.jpg,179000,[],[],clat,"['Library', 'Laboratory', 'Comp Labs', 'Hostel', 'Cafeteria', 'Classrooms', 'Medical', 'Transport', 'Auditorium']",3,Private,Full Time,3
"Rama University, Faculty of Juridical Sciences (Law)",Kanpur,Uttar Pradesh,['BCI'],7.02563037362892,0.963565288622081,https://images.collegedunia.com/public/college_data/images/logos/16486405681611567111Logo1.jpg,https://images.collegedunia.com/public/college_data/images/appImage/16486405681595668753MEDICALCOLLEGE.jpg,40000,[],[],,"['Hostel', 'Classrooms', 'Medical', 'Security', 'Comp Labs', 'Laboratory', 'Library', 'Transport', 'Auditorium', 'Sports', 'Cafeteria']",1,Private,Full Time,3
Glocal law School - [GLS],Saharanpur,Uttar Pradesh,"['BCI', 'UGC']",7.02563037362892,0.96454851850843,https://images.collegedunia.com/public/college_data/images/logos/1475654222logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/57268_Banner-03.jpg,90000,[],[],,"['Library', 'Sports', 'Hostel', 'Transport', 'Security', 'Classrooms', 'Medical', 'Cafeteria', 'Auditorium', 'Laboratory', 'Wi-FI Campus', 'Comp Labs', 'e-classroom', 'Gym', 'Communication Centre']",2,Private,Full Time,3
"School of Legal Studies, Apeejay Stya University - [SLS]",Gurgaon,Haryana,"['BCI', 'UGC']",7.02563037362892,0.965532751690581,https://images.collegedunia.com/public/college_data/images/logos/col28683.jpg,https://images.collegedunia.com/public/college_data/images/appImage/25518_3.jpg,260000,[],[],,"['Comp Labs', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel']",4,Private,Full Time,3
"UPES, School of Law",Dehradun,Uttarakhand,['BCI'],7.02563037362892,0.966517989192306,https://images.collegedunia.com/public/college_data/images/logos/15732750211550567037UPESLogo1.png,https://images.collegedunia.com/public/college_data/images/appImage/15732750221472549076contactus.jpg,412125,"[{'year': '2022', 'agencyId': '17', 'rankingOfCollege': '24', 'rankingOutOfTotalNoOfCollege': '61', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '15', 'rankingOutOfTotalNoOfCollege': '38', 'agency': 'The Week'}]","[{'year': '2022', 'agencyId': '17', 'rankingOfCollege': '24', 'rankingOutOfTotalNoOfCollege': '61', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '15', 'rankingOutOfTotalNoOfCollege': '38', 'agency': 'The Week'}]",ulsat,"['Classrooms', 'Library', 'Laboratory', 'Comp Labs', 'Auditorium', 'Hostel', 'Cafeteria']",4,Private,Full Time,3
"RIMT University, School of Legal Studies - [SLS]",Gobindgarh,Punjab,['BCI'],7.02563037362892,0.967504232038421,https://images.collegedunia.com/public/college_data/images/logos/1475750382Untitled.png,https://images.collegedunia.com/public/college_data/images/appImage/57298_p1987dh0bv1df919b71dovs9ujcdc.jpg,85000,[],[],,"['Hostel', 'Library', 'Transport', 'Wi-FI Campus', 'Laboratory', 'Cafeteria', 'Classrooms', 'Auditorium']",2,Private,Full Time,3
Vivekanand Education Society's College Of Law - [VESCOL],Mumbai,Maharashtra,[],7.02563037362892,0.968491481254787,https://images.collegedunia.com/public/college_data/images/logos/1476700494Untitled.png,https://images.collegedunia.com/public/college_data/images/appImage/57407_UntitledNew.png,29000,[],[],,"['Classrooms', 'Auditorium', 'Library', 'Sports', 'Cafeteria']",1,Private,Full Time,3
"Galgotias University, School of Law - [SOL]",Greater Noida,Uttar Pradesh,['BCI'],7.02563037362891,0.969479737868312,https://images.collegedunia.com/public/college_data/images/logos/15938432011593772670logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/15029720411497433929cover11.jpg,110000,"[{'year': '2022', 'agencyId': '17', 'rankingOfCollege': '28', 'rankingOutOfTotalNoOfCollege': '61', 'agency': 'Indiatoday'}]","[{'year': '2022', 'agencyId': '17', 'rankingOfCollege': '28', 'rankingOutOfTotalNoOfCollege': '61', 'agency': 'Indiatoday'}]",clat,"['Comp Labs', 'Library', 'Laboratory', 'Sports', 'Hostel', 'Auditorium', 'Medical', 'Gym', 'Cafeteria', 'Classrooms', 'Wi-FI Campus', 'Banks']",3,Private,Full Time,3
Sri Satya Sai University of Technology & Medical Sciences - [SSSUTMS],Bhopal,Madhya Pradesh,"['NCTE', 'PCI', 'AICTE', 'UGC']",7.02563037362892,0.970469002906953,https://images.collegedunia.com/public/college_data/images/logos/1590145322Logo.png,https://images.collegedunia.com/public/college_data/images/appImage/1590145367Cover.jpg,26000,[],[],,"['Medical', 'Classrooms', 'Security', 'Auditorium', 'Sports', 'Cafeteria', 'Comp Labs', 'Laboratory', 'Library', 'Transport', 'Wi-FI Campus', 'Banks']",1,Private,Full Time,3
Symbiosis Law School - [SLS],Noida,Uttar Pradesh,['UGC'],7.02563037362892,0.971459277399716,https://images.collegedunia.com/public/college_data/images/logos/1477564118slslogo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/_slsCOVER.jpg,310000,[],[],,"['Library', 'Comp Labs', 'Wi-FI Campus', 'Security', 'Medical', 'Auditorium', 'Cafeteria', 'Sports', 'Gym']",4,Private,Full Time,3
KES Law College,Mumbai,Maharashtra,['BCI'],7.02563037362892,0.972450562376654,https://images.collegedunia.com/public/college_data/images/logos/1478081627keslogo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/_kescover.jpg,20000,[],[],mh cet law,"['Library', 'Sports', 'Auditorium', 'Cafeteria', 'Classrooms', 'Comp Labs']",0,Private,Full Time,3
Kalinga University,Raipur,Chhattisgarh,"['NCTE', 'PCI', 'BCI', 'AICTE', 'UGC']",7.02563037362892,0.973442858868875,https://images.collegedunia.com/public/college_data/images/logos/1597842787103770834659910101710681290935674061262133n.jpg,https://images.collegedunia.com/public/college_data/images/appImage/16141692691.jpg,130750,[],"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '151', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}]",,"['Library', 'Classrooms', 'Auditorium', 'Sports', 'Cafeteria', 'Comp Labs', 'Hostel', 'Laboratory', 'Medical']",3,Private,Full Time,3
V.N.Patil Law College,Aurangabad,Maharashtra,['BCI'],7.02563037362892,0.974436167908537,https://images.collegedunia.com/public/college_data/images/logos/1479273388vnpll4.jpg,https://images.collegedunia.com/public/college_data/images/appImage/57667_DR.BABSAHEB AMBEDKAR UNIVERSITY IMAGE.png,3250,[],[],mh cet law,"['Library', 'Classrooms', 'Laboratory', 'Sports', 'Hostel']",0,Private,Full Time,3
Children Welfare Centre Law College,Mumbai,Maharashtra,['BCI'],7.02563037362892,0.975430490528852,https://images.collegedunia.com/public/college_data/images/logos/1479278074logo law.jpg,https://images.collegedunia.com/public/college_data/images/appImage/_app image law.jpg,23500,[],[],mh cet law,"['Library', 'Laboratory', 'Cafeteria', 'Medical', 'Gym', 'Sports', 'Transport', 'Classrooms', 'Security', 'Hostel']",0,Private,Full Time,3
M.K.E.S  College of Law,Mumbai,Maharashtra,[],7.02563037362892,0.976425827764086,https://images.collegedunia.com/public/college_data/images/logos/1479290246f1.png,https://images.collegedunia.com/public/college_data/images/appImage/57680_mu.jpg,15000,[],[],mh cet law,"['Library', 'Cafeteria']",0,Private,Full Time,3
Shantaram Potdukhe College of LAW,Chandrapur,Maharashtra,['BCI'],7.02563037362892,0.977422180649559,https://images.collegedunia.com/public/college_data/images/logos/1479292898logo2.jpg,https://images.collegedunia.com/public/college_data/images/appImage/57681_spcl app imge 1.png,9972,[],[],mh cet law,"['Library', 'Wi-FI Campus', 'Cafeteria', 'Gym', 'Hostel', 'Auditorium', 'Comp Labs']",0,Private,Full Time,3
Oriental College Of Law - [OCL],Navi Mumbai,Maharashtra,['BCI'],7.02563037362892,0.97841955022165,https://images.collegedunia.com/public/college_data/images/logos/1479296324logo.png,https://images.collegedunia.com/public/college_data/images/appImage/57682_build.jpg,30000,[],[],mh cet law,"['Classrooms', 'Comp Labs', 'Cafeteria', 'Auditorium', 'Library', 'Security', 'Medical', 'Sports']",1,Private,Full Time,3
Delhi Metropolitan Education - [DME],Noida,Uttar Pradesh,['BCI'],7.02563037362892,0.979417937517795,https://images.collegedunia.com/public/college_data/images/logos/1479816542new logo 111.png,https://images.collegedunia.com/public/college_data/images/appImage/57706_img.png,116300,"[{'year': '2022', 'agencyId': '17', 'rankingOfCollege': '53', 'rankingOutOfTotalNoOfCollege': '61', 'agency': 'Indiatoday'}]","[{'year': '2020', 'agencyId': '17', 'rankingOfCollege': '111', 'rankingOutOfTotalNoOfCollege': '120', 'agency': 'Indiatoday'}, {'year': '2020', 'agencyId': '14', 'rankingOfCollege': '66', 'rankingOutOfTotalNoOfCollege': '71', 'agency': 'TOI'}, {'year': '2021', 'agencyId': '28', 'rankingOfCollege': '125', 'rankingOutOfTotalNoOfCollege': '125', 'agency': 'Outlook'}]",clat,"['Medical', 'Transport', 'Sports', 'Comp Labs', 'Laboratory', 'Library', 'Auditorium', 'Cafeteria', 'Hostel', 'Classrooms']",3,Private,Full Time,3
Delhi Institute of Rural Development - [DIRD],New Delhi,Delhi NCR,['NBA'],7.02563037362892,0.980417343576486,https://images.collegedunia.com/public/asset/img/placeholders/logo_placeholder_70X70.png,https://images.collegedunia.com/public/college_data/images/appImage/57711_cvr.png,55500,[],[],,"['Medical', 'Transport', 'Sports', 'Comp Labs', 'Laboratory', 'Library', 'Auditorium', 'Cafeteria']",1,Private,Full Time,3
Shri Ram Murti Smarak Institutions - [SRMSI],Bareilly,Uttar Pradesh,['AICTE'],7.02563037362892,0.981417769437279,https://images.collegedunia.com/public/college_data/images/logos/1482316094logo.png,https://images.collegedunia.com/public/college_data/images/appImage/57864_cvr.png,58200,[],[],,"['Medical', 'Sports', 'Comp Labs', 'Laboratory', 'Library', 'Auditorium', 'Cafeteria']",1,Private,Full Time,3
IIMT College of Law,Greater Noida,Uttar Pradesh,['BCI'],7.02563037362891,0.982419216140786,https://images.collegedunia.com/public/college_data/images/logos/1616150656126472729631464770537247629192944512520721n.png,https://images.collegedunia.com/public/college_data/images/appImage/1586169049CampusViewofIIMTCollegeofLawGreaterNoidaCampusView.jpg,44300,"[{'year': '2021', 'agencyId': '28', 'rankingOfCollege': '33', 'rankingOutOfTotalNoOfCollege': '33', 'agency': 'Outlook'}]","[{'year': '2021', 'agencyId': '28', 'rankingOfCollege': '33', 'rankingOutOfTotalNoOfCollege': '33', 'agency': 'Outlook'}]",,"['Cafeteria', 'Sports', 'Auditorium', 'Classrooms', 'Medical', 'Transport', 'Library', 'Laboratory']",1,Private,Full Time,3
University Maharani College,Jaipur,Rajasthan,[],7.02563037362892,0.983421684728685,https://images.collegedunia.com/public/college_data/images/logos/1487050052Capture.png,https://images.collegedunia.com/public/college_data/images/appImage/1487050052cksajKSNKA.png,0,[],[],,"['Classrooms', 'Hostel', 'Auditorium', 'Library', 'Comp Labs', 'Laboratory', 'Medical', 'Cafeteria']",0,Government,Full Time,3
Tilak Dhari P.G. College,Jaunpur,Uttar Pradesh,[],7.02563037362892,0.984425176243714,https://images.collegedunia.com/public/college_data/images/logos/1487581378logo.png,https://images.collegedunia.com/public/college_data/images/appImage/1487581378build.png,7200,[],[],,"['Sports', 'Medical', 'Laboratory', 'Comp Labs', 'Library', 'Cafeteria', 'Classrooms', 'Auditorium']",0,Private,Full Time,3
Kings Cornerstone International College,Chennai,Tamil Nadu,[],7.02563037362892,0.985429691729677,https://images.collegedunia.com/public/college_data/images/logos/1656580961Screenshot20220630145149.png,https://images.collegedunia.com/public/college_data/images/appImage/1656654383CoverPicture1170pxx166px.png,0,[],[],,"['Auditorium', 'Library', 'Laboratory', 'Classrooms', 'Sports', 'Hostel']",0,Private,Full Time,3
Shibli National College,Azamgarh,Uttar Pradesh,['UGC'],7.02563037362892,0.986435232231442,https://images.collegedunia.com/public/college_data/images/logos/1487670042logo1.jpg,https://images.collegedunia.com/public/college_data/images/appImage/148767004213915ShibliNationalCollegeAzamgarh1434540111original.jpg,0,[],[],,"['Classrooms', 'Library', 'Cafeteria', 'Comp Labs']",0,Government,Full Time,3
St. Andrews College,Gorakhpur,Uttar Pradesh,['UGC'],7.02563037362892,0.987441798794944,https://images.collegedunia.com/public/college_data/images/logos/1487739818logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1487739818cover.jpg,0,[],[],,"['Library', 'Classrooms', 'Medical', 'Hostel', 'Cafeteria', 'Banks']",0,Government,Full Time,3
Kazi Nazrul University - [KNU],Asansol,West Bengal,['UGC'],7.02563037362892,0.988449392467184,https://images.collegedunia.com/public/college_data/images/logos/1487760523KaziNazrulUniversityLogo.png,https://images.collegedunia.com/public/college_data/images/appImage/148776052305.jpg,0,[],[],,"['Classrooms', 'Medical', 'Laboratory', 'Comp Labs', 'Library', 'Cafeteria']",0,Government,Full Time,3
Government Mizoram Law college,Aizawl,Mizoram,['BCI'],7.02563037362892,0.989458014296232,https://images.collegedunia.com/public/college_data/images/logos/1487844700GovernmentMizoramLawCollege.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1487844700wdrwR.jpg,0,[],[],,"['Library', 'Hostel', 'Classrooms']",0,Government,Full Time,3
North East Frontier Technical University - [NEFTU],West Siang,Arunachal Pradesh,"['BCI', 'AICTE', 'UGC', 'AIU']",7.02563037362891,0.990467665331228,https://images.collegedunia.com/public/college_data/images/logos/1488360677Logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1488360677AppNew.jpg,0,[],[],,"['Library', 'Laboratory', 'Comp Labs', 'Classrooms', 'Hostel', 'Sports', 'Auditorium', 'Medical', 'Cafeteria']",0,Private,Full Time,3
