College Name,College City,State,Approvals,Rating,Major Stream Rating,Logo,Cover,Fees,Ranking Data,Default Ranking Data,Exam,Facilities,Fee Range,Type Of College,Program Type,Duration
Sree Sankara College -[SSC] Kalady,Ernakulam,Kerala,[],7.656600216325211,0.288328156618022,https://images.collegedunia.com/public/college_data/images/logos/1587039116Logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/4676_sg1.png,22105,[],[],,"['Comp Labs', 'Library', 'Sports', 'Cafeteria', 'Medical', 'Wi-FI Campus', 'Auditorium', 'Hostel', 'e-classroom', 'Classrooms']",0,Private,Full Time,3
Sree Sankara Vidyapeetom College - [SSV],Ernakulam,Kerala,['UGC'],7.65660021632521,0.2883903365094643,https://images.collegedunia.com/public/college_data/images/logos/1587129848Logo.png,https://images.collegedunia.com/public/college_data/images/appImage/4677_sc 1.png,22500,[],[],,"['Comp Labs', 'Library', 'canteen', 'Medical', 'Auditorium']",0,Private,Full Time,3
Sree Saraswathi Thyagaraja College - [STC],Pollachi,Tamil Nadu,['AICTE'],7.656600216325211,0.2884525298104153,https://images.collegedunia.com/public/college_data/images/logos/16183855611922531410634839037863482425496225472343901n.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1618385562IMG7502.jpg,42000,"[{'year': '2019', 'agencyId': '17', 'rankingOfCollege': '118', 'rankingOutOfTotalNoOfCollege': '124', 'agency': 'Indiatoday'}]","[{'year': '2019', 'agencyId': '17', 'rankingOfCollege': '118', 'rankingOutOfTotalNoOfCollege': '124', 'agency': 'Indiatoday'}]",,"['Comp Labs', 'Sports', 'Gym', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel']",1,Private,Full Time,3
"Sree Siddaganga College of Arts, Science and Commerce for Women - [SSCW]",Tumkur,Karnataka,['UGC'],7.65660021632521,0.2885147365237667,https://images.collegedunia.com/public/college_data/images/logos/13972118024681.JPG,https://images.collegedunia.com/public/college_data/images/appImage/4681_SSCASCW_APP.jpg,0,[],[],,"['Comp Labs', 'Sports', 'Medical', 'Cafeteria', 'Library', 'Hostel', 'Gym', 'Laboratory', 'Auditorium']",0,Private,Full Time,3
Sree Vidyadhi Raja NSS College Vazhoor,Kottayam,Kerala,"['NCTE', 'DCI', 'RCI', 'PCI', 'MCI']",7.656600216325211,0.288576956652411,https://images.collegedunia.com/public/college_data/images/logos/1470917087sy.png,https://images.collegedunia.com/public/college_data/images/appImage/4685_SVRNSSC_APP.jpg,3003,[],[],,"['Sports', 'Library', 'canteen', 'Medical', 'Auditorium']",0,Government,Full Time,3
Sri Babu Singh Degree College,Farrukhabad,Uttar Pradesh,['UGC'],7.65660021632521,0.2886391901992413,https://images.collegedunia.com/public/college_data/images/logos/1426335205sgree babu.jpg,https://images.collegedunia.com/public/college_data/images/appImage/4706_SBSDC_APP.jpg,28000,[],[],,[],1,Private,Full Time,3
Sree Chaitanya Mahavidyalaya,North 24 Parganas,West Bengal,[],7.656600216325211,0.2887014371671515,https://images.collegedunia.com/public/college_data/images/logos/1426336162college shree.jpg,https://images.collegedunia.com/public/college_data/images/appImage/14882825764719SRICMAPP.jpg,1080,[],[],,"['Classrooms', 'Library', 'Laboratory', 'Comp Labs', 'Cafeteria', 'Medical']",0,Private,Full Time,3
Sri Durga Malleswari Siddhartha Mahila Kalasala- [SDMSM],Vijayawada,Andhra Pradesh,[],7.65660021632521,0.2887636975590357,https://images.collegedunia.com/public/college_data/images/logos/147970519400.jpg,https://images.collegedunia.com/public/college_data/images/appImage/4728_0.jpg,3585,"[{'year': '2022', 'agencyId': '17', 'rankingOfCollege': '124', 'rankingOutOfTotalNoOfCollege': '186', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '53', 'rankingOutOfTotalNoOfCollege': '56', 'agency': 'The Week'}]","[{'year': '2022', 'agencyId': '17', 'rankingOfCollege': '124', 'rankingOutOfTotalNoOfCollege': '186', 'agency': 'Indiatoday'}, {'year': '2022', 'agencyId': '33', 'rankingOfCollege': '53', 'rankingOutOfTotalNoOfCollege': '56', 'agency': 'The Week'}]",,"['Library', 'Laboratory', 'Gym', 'Cafeteria', 'Comp Labs', 'Medical', 'Hostel', 'Auditorium', 'Sports', 'Classrooms']",0,Government,Full Time,3
Shree Gokarnanatheshwara College,Mangalore,Karnataka,[],7.656600216325211,0.288825971377789,https://images.collegedunia.com/public/college_data/images/logos/1468670177Capture.JP logo.jpg edt.jpg,https://images.collegedunia.com/public/college_data/images/appImage/4734_Capture.JPG cvr.jpg edt.jpg,0,[],[],,"['Cafeteria', 'Library', 'Laboratory', 'Comp Labs', 'Auditorium', 'Hostel', 'Sports', 'Medical']",0,Private,Full Time,3
Sri Guru Gobind Singh College,Patna,Bihar,[],7.656600216325211,0.2888882586263069,https://images.collegedunia.com/public/college_data/images/logos/1426588761col4741.jpg,https://images.collegedunia.com/public/college_data/images/appImage/4741_SGGSC_APP.jpg,0,[],[],,"['Comp Labs', 'Cafeteria', 'Laboratory', 'Library']",0,Private,Full Time,3
Sri Guru Nanak Dev Khalsa College - [SGNDKC],New Delhi,Delhi NCR,[],7.65660021632521,0.2889505593074858,https://images.collegedunia.com/public/college_data/images/logos/14920705008888.jpg,https://images.collegedunia.com/public/college_data/images/appImage/14920705001446289154SGGDKCNEW.jpg,11567,[],[],cuet,"['Comp Labs', 'Sports', 'Medical', 'Cafeteria', 'Library', 'Auditorium', 'Hostel', 'Gym', 'Classrooms']",0,Government,Full Time,3
