College Name,College City,State,Approvals,Rating,Major Stream Rating,Logo,Cover,Fees,Ranking Data,Default Ranking Data,Exam,Facilities,Fee Range,Type Of College,Program Type,Duration
ESIC Medical College,Hyderabad,Telangana,['MCI'],7.662213218283048,0.4487909389460559,https://images.collegedunia.com/public/college_data/images/logos/15421884691500458058logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1542188469banner2.jpg,112500,[],[],neet,"['Laboratory', 'Classrooms', 'Auditorium', 'Hostel']",3,Private,Full Time,5
Dr.S.C.Govt Medical College - [SCGMC],Nanded,Maharashtra,['MCI'],7.662213218283048,0.4495266617967872,https://images.collegedunia.com/public/college_data/images/logos/1542623763925720336s.jpg,https://images.collegedunia.com/public/asset/img/placeholders/logo_placeholder_70X70.png,83400,[],[],neet,['Classrooms'],2,Private,Full Time,5
Government Medical College - [GMC],Bharatpur,Rajasthan,['MCI'],7.662213218283048,0.4502635907505524,https://images.collegedunia.com/public/asset/img/placeholders/logo_placeholder_70X70.png,https://images.collegedunia.com/public/college_data/images/appImage/1542870287Front1.jpg,104000,[],[],neet,"['Classrooms', 'Library', 'Medical']",3,Private,Full Time,5
Government Medical College - [GMC],Dungarpur,Rajasthan,['MCI'],7.662213218283048,0.4510017277845696,https://images.collegedunia.com/public/asset/img/placeholders/logo_placeholder_70X70.png,https://images.collegedunia.com/public/college_data/images/appImage/154288080326.01.2018.Republicday.jpg,70000,[],[],neet,"['Library', 'Classrooms', 'Medical']",1,Private,Full Time,5
Sri Padmavathi Medical College for Women - [SVIMS],Tirupati,Andhra Pradesh,['MCI'],7.662213218283048,0.4517410748792985,https://images.collegedunia.com/public/asset/img/placeholders/logo_placeholder_70X70.png,https://images.collegedunia.com/public/college_data/images/appImage/1542885043college.jpg,77100,[],[],neet,"['Library', 'Classrooms', 'Medical']",2,Private,Full Time,5
Pandit Raghunath Murmu Medical College,Mayurbhanj,Orissa,['MCI'],7.662213218283048,0.4524816340184449,https://images.collegedunia.com/public/college_data/images/logos/1542952795Pt.RaghunathMurmuMedicalCollegeandHospitalBaripadaOdisha.jpeg,https://images.collegedunia.com/public/college_data/images/appImage/1542952795213709561868540126497224986642101608871329n.jpg,20000,[],[],neet,"['Library', 'Medical', 'Gym', 'Sports', 'Classrooms']",0,Private,Full Time,5
Pacific Institute of Medical Sciences - [PIMS],Udaipur,Rajasthan,['MCI'],7.662213218283049,0.4532234071889668,https://images.collegedunia.com/public/college_data/images/logos/1546952529Untitled.png,https://images.collegedunia.com/public/college_data/images/appImage/1546952529pacificinstituteofmedicalsciencesudaipurrajasthanmedicalcolleges6h5x5.jpg,0,[],[],neet,"['Medical', 'Communication Centre', 'Library', 'Transport', 'Security', 'Wi-FI Campus', 'Banks', 'e-classroom', 'Laboratory', 'Gym', 'Cafeteria']",0,Private,Full Time,5
Malla Reddy Institute of Medical Sciences-[MRIMS],Hyderabad,Telangana,['MCI'],7.662213218283048,0.45396639638108,https://images.collegedunia.com/public/college_data/images/logos/1547731552MRIMSlogo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1547731726download.jpg,0,[],[],neet,"['Library', 'Cafeteria', 'Medical', 'Classrooms', 'Laboratory']",0,Private,Full Time,5
All India Institute of Medical Sciences - [AIIMS],Nagpur,Maharashtra,['MCI'],7.662213218283048,0.4547106035882621,https://images.collegedunia.com/public/college_data/images/logos/1547797227logo12.png,https://images.collegedunia.com/public/college_data/images/appImage/1548292433about20us.jpg,1628,[],[],neet,[],0,Private,Full Time,5
All India Institute of Medical Sciences - [AIIMS],Mangalagiri,Andhra Pradesh,[],7.662213218283048,0.4554560308072592,https://images.collegedunia.com/public/college_data/images/logos/1547814745guy.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1547814420fgghfgjrdte647x450.jpg,1628,[],[],neet,"['Wi-FI Campus', 'Hostel', 'Laboratory', 'Comp Labs', 'Security', 'Classrooms', 'Gym', 'Cafeteria', 'Medical', 'Library', 'Auditorium', 'Sports']",0,Private,Full Time,5
Heritage Institute of Medical Sciences - [HIMS],Varanasi,Uttar Pradesh,['MCI'],7.662213218283048,0.4562026800380908,https://images.collegedunia.com/public/college_data/images/logos/1549372107logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1549372107cover.jpg,1642000,[],[],neet,"['Security', 'Library', 'Laboratory', 'e-classroom', 'Hostel', 'Auditorium', 'Gym', 'Cafeteria']",4,Private,Full Time,5
Government Medical college and Hospital,Balasore,Orissa,['MCI'],7.662213218283048,0.4569505532840549,https://images.collegedunia.com/public/college_data/images/logos/1549964461odishagovernmentlogobest.png,https://images.collegedunia.com/public/college_data/images/appImage/1549964461DSC07729.jpg,30000,[],[],neet,"['Hostel', 'Classrooms', 'Medical', 'Cafeteria', 'Laboratory', 'Comp Labs', 'Auditorium', 'Library', 'Sports', 'Gym']",1,Private,Full Time,5
Government Medical College and Hospital,Balangir,Orissa,['MCI'],7.662213218283048,0.4576996525517336,https://images.collegedunia.com/public/college_data/images/logos/1550049202odishagovernmentlogobest.png,https://images.collegedunia.com/public/college_data/images/appImage/1550049202AdministrativeBlock1.jpg,30000,[],[],neet,"['Classrooms', 'Auditorium', 'Laboratory', 'Comp Labs', 'Library', 'Medical', 'Cafeteria', 'Gym', 'Sports']",1,Private,Full Time,5
AMC MET Medical College - [AMC-MET],Ahmedabad,Gujarat,['MCI'],7.662213218283048,0.4584499798509988,https://images.collegedunia.com/public/college_data/images/logos/1556254656footerlogo1.png,https://images.collegedunia.com/public/college_data/images/appImage/1556255971metmedical1.png,731000,[],[],neet,"['Classrooms', 'Laboratory', 'Comp Labs', 'Auditorium', 'Medical', 'Cafeteria', 'Sports', 'Library']",4,Private,Full Time,5
Rajshree Medical Research Institute - [RMRI],Bareilly,Uttar Pradesh,['MCI'],7.662213218283048,0.4592015371950169,https://images.collegedunia.com/public/college_data/images/logos/1656310375image.png,https://images.collegedunia.com/public/college_data/images/appImage/1561523631Annotation2.png,1614006,[],[],neet,"['Laboratory', 'Classrooms', 'Hostel', 'Communication Centre', 'Auditorium', 'Medical', 'Cafeteria', 'Transport', 'Banks', 'Sports', 'Library']",4,Private,Full Time,5
Prasad Institute of Medical Sciences - [PIMS],Lucknow,Uttar Pradesh,['MCI'],7.662213218283047,0.4599543266002546,https://images.collegedunia.com/public/college_data/images/logos/1570700032pims.png,https://images.collegedunia.com/public/college_data/images/appImage/1584622899Annotation20200319182704.jpg,1130000,[],[],neet,"['Library', 'Classrooms', 'Laboratory', 'Hostel', 'Wi-FI Campus', 'Auditorium', 'Gym', 'Sports', 'Banks', 'Medical']",4,Private,Full Time,5
"Dr. N. D. Desai Faculty of Medical Science and Research, Dharmsinh Desai University",Nadiad,Gujarat,[],7.662213218283048,0.4607083500864845,https://images.collegedunia.com/public/college_data/images/logos/1575282800logo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/15752828011575026143navimg.jpg,785000,[],[],,"['Sports', 'Medical', 'Classrooms', 'Library', 'Hostel']",4,Private,Full Time,5
Sri  Siddhartha  Academy  of  Higher  Education - [SSAHE],Tumkur,Karnataka,['AICTE'],7.662213218283048,0.4614636096767902,https://images.collegedunia.com/public/college_data/images/logos/1583325056ssahelogo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1583325056ssahacover.jpg,1565750,[],"[{'year': '2022', 'agencyId': '13', 'rankingOfCollege': '151', 'rankingOutOfTotalNoOfCollege': '200', 'agency': 'NIRF'}]",neet,"['Wi-FI Campus', 'Cafeteria', 'Sports', 'Gym', 'Hostel', 'Auditorium', 'Library', 'Laboratory', 'Classrooms', 'Banks']",4,Private,Full Time,5
Mahatma Gandhi University of  Medical Science & Technology,Jaipur,Rajasthan,['MCI'],7.662213218283048,0.4622201073975718,https://images.collegedunia.com/public/college_data/images/logos/1583401325mahatmagandhiuniversitymedicalsciencestechnologyjaipurindia.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1583401326MahatmaGandhiUniversityofMedicalSciencesandTechnologyJaipur2.png,1500000,[],[],,"['Library', 'Laboratory', 'Comp Labs', 'Classrooms', 'Wi-FI Campus', 'Auditorium', 'Cafeteria']",4,Private,Full Time,5
Sai Tirupati University,Udaipur,Rajasthan,[],7.662213218283048,0.4629778452785514,https://images.collegedunia.com/public/college_data/images/logos/1583561936logo.jpeg,https://images.collegedunia.com/public/college_data/images/appImage/1583561936t.jpeg,1700000,[],[],neet,"['Library', 'Hostel', 'Medical', 'Transport', 'Sports', 'Classrooms', 'Laboratory', 'Comp Labs', 'Cafeteria']",4,Private,Full Time,5
Mata  Gujri  University,Kishanganj,Bihar,[],7.662213218283048,0.4637368253527785,https://images.collegedunia.com/public/college_data/images/logos/1583729365mgu.jpeg,https://images.collegedunia.com/public/college_data/images/appImage/1583729366m1.jpeg,988000,[],[],,"['Library', 'Medical', 'Classrooms', 'Cafeteria', 'Laboratory', 'Comp Labs']",4,Private,Full Time,5
Kaloji Narayana Rao University of Health Sciences,Warangal,Telangana,['UGC'],7.662213218283047,0.4644970496566356,https://images.collegedunia.com/public/college_data/images/logos/1584089398knruhs.png,https://images.collegedunia.com/public/college_data/images/appImage/1584089398kaloji.jpg,0,[],[],,"['Classrooms', 'Wi-FI Campus', 'Cafeteria']",0,Private,Full Time,5
Sankalchand Patel University - [SPU],Visnagar,Gujarat,['UGC'],7.662213218283048,0.4652585202298432,https://images.collegedunia.com/public/college_data/images/logos/1584091466Logo.png,https://images.collegedunia.com/public/college_data/images/appImage/1584075224cover.jpg,785000,[],[],,"['Comp Labs', 'Sports', 'Medical', 'Cafeteria', 'Laboratory', 'Library', 'Auditorium', 'Hostel', 'Gym', 'Transport']",4,Private,Full Time,5
Ras Bihari Bose Subharti University,Dehradun,Uttarakhand,[],7.662213218283048,0.4660212391154659,https://images.collegedunia.com/public/college_data/images/logos/15841001941.jpeg,https://images.collegedunia.com/public/college_data/images/appImage/1584100194cover.jpeg,0,[],[],,"['Library', 'Comp Labs', 'Hostel', 'Auditorium', 'Cafeteria', 'Laboratory', 'Sports', 'Transport', 'Medical', 'Classrooms']",0,Private,Full Time,5
Binod Bihar Mahto Koylanchal University - [BBMKU],Dhanbad,Jharkhand,['UGC'],7.662213218283048,0.4667852083599174,https://images.collegedunia.com/public/college_data/images/logos/1584445535download.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1584445535image9f3cc6d1017244e8ad8b744bc582976d.jpg,0,[],[],,"['Library', 'Laboratory', 'Classrooms', 'Sports', 'e-classroom', 'Auditorium', 'Comp Labs']",0,Private,Full Time,5
Government Medical College - [GMC],Khandwa,Madhya Pradesh,['MCI'],7.662213218283048,0.4675504300129665,https://images.collegedunia.com/public/college_data/images/logos/1584708403gmcmplogo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1584708403gmcmpcover.jpg,125000,[],[],neet,"['Library', 'Transport', 'Wi-FI Campus', 'e-classroom', 'Gym', 'Cafeteria', 'Medical', 'Hostel', 'Classrooms', 'Laboratory', 'Comp Labs']",3,Private,Full Time,5
"Pravara Rural Medical College - [PRMC], Loni",Ahmednagar,Maharashtra,['MCI'],7.662213218283047,0.4683169061277418,https://images.collegedunia.com/public/college_data/images/logos/1585565303lonilogo.jpg,https://images.collegedunia.com/public/college_data/images/appImage/1585565303lonicover.jpg,145000,[],[],,"['Library', 'Laboratory', 'Classrooms', 'Hostel', 'Cafeteria', 'Medical', 'Comp Labs', 'Sports', 'Transport', 'Wi-FI Campus']",3,Private,Full Time,5
